subject,run,kept,total
1,4,0,30
1,8,0,30
1,12,1,30
2,4,14,30
2,8,14,30
2,12,11,30
3,4,0,30
3,8,0,30
3,12,0,30
4,4,0,30
4,8,0,30
4,12,0,30
5,4,13,30
5,8,14,30
5,12,15,30
6,4,15,30
6,8,5,30
6,12,1,30
7,4,10,30
7,8,8,30
7,12,7,30
8,4,15,30
8,8,15,30
8,12,15,30
9,4,0,30
9,8,0,30
9,12,0,30
10,4,0,30
10,8,0,30
10,12,0,30
11,4,14,30
11,8,15,30
11,12,14,30
12,4,9,30
12,8,11,30
12,12,12,30
13,4,0,30
13,8,0,30
13,12,0,30
14,4,14,30
14,8,10,30
14,12,8,30
15,4,0,30
15,8,0,30
15,12,0,30
16,4,11,30
16,8,5,30
16,12,12,30
17,4,0,30
17,8,0,30
17,12,0,30
18,4,15,30
18,8,15,30
18,12,15,30
19,4,2,30
19,8,0,30
19,12,0,30
20,4,15,30
20,8,15,30
20,12,15,30
21,4,15,30
21,8,3,30
21,12,3,30
22,4,0,30
22,8,0,30
22,12,6,30
23,4,2,30
23,8,0,30
23,12,0,30
24,4,0,30
24,8,0,30
24,12,0,30
25,4,15,30
25,8,15,30
25,12,14,30
26,4,15,30
26,8,15,30
26,12,15,30
27,4,4,30
27,8,6,30
27,12,1,30
28,4,0,30
28,8,0,30
28,12,0,30
29,4,15,30
29,8,14,30
29,12,15,30
30,4,15,30
30,8,15,30
30,12,15,30
31,4,5,30
31,8,2,30
31,12,3,30
32,4,0,30
32,8,0,30
32,12,0,30
33,4,15,30
33,8,13,30
33,12,14,30
34,4,15,30
34,8,15,30
34,12,15,30
35,4,15,30
35,8,15,30
35,12,15,30
36,4,2,30
36,8,0,30
36,12,0,30
37,4,15,30
37,8,15,30
37,12,15,30
38,4,0,30
38,8,1,30
38,12,2,30
39,4,5,30
39,8,0,30
39,12,0,30
40,4,13,30
40,8,15,30
40,12,11,30
41,4,15,30
41,8,15,30
41,12,15,30
42,4,14,30
42,8,15,30
42,12,15,30
43,4,11,30
43,8,0,30
43,12,0,30
44,4,1,30
44,8,0,30
44,12,2,30
45,4,0,30
45,8,0,30
45,12,0,30
46,4,12,30
46,8,11,30
46,12,12,30
47,4,15,30
47,8,15,30
47,12,15,30
48,4,0,30
48,8,0,30
48,12,0,30
49,4,1,30
49,8,0,30
49,12,0,30
50,4,15,30
50,8,14,30
50,12,15,30
51,4,15,30
51,8,15,30
51,12,15,30
52,4,1,30
52,8,2,30
52,12,1,30
53,4,0,30
53,8,0,30
53,12,0,30
54,4,1,30
54,8,1,30
54,12,2,30
55,4,15,30
55,8,15,30
55,12,15,30
56,4,0,30
56,8,0,30
56,12,0,30
57,4,8,30
57,8,0,30
57,12,1,30
58,4,0,30
58,8,3,30
58,12,0,30
59,4,3,30
59,8,1,30
59,12,2,30
60,4,0,30
60,8,0,30
60,12,0,30
61,4,1,30
61,8,0,30
61,12,0,30
62,4,12,30
62,8,13,30
62,12,11,30
63,4,0,30
63,8,0,30
63,12,2,30
64,4,15,30
64,8,15,30
64,12,15,30
65,4,0,30
65,8,1,30
65,12,0,30
66,4,9,30
66,8,4,30
66,12,7,30
67,4,13,30
67,8,8,30
67,12,14,30
68,4,0,30
68,8,0,30
68,12,0,30
69,4,0,30
69,8,0,30
69,12,3,30
70,4,0,30
70,8,0,30
70,12,0,30
71,4,2,30
71,8,0,30
71,12,0,30
72,4,15,30
72,8,15,30
72,12,15,30
73,4,15,30
73,8,15,30
73,12,15,30
74,4,15,30
74,8,15,30
74,12,15,30
75,4,0,30
75,8,0,30
75,12,0,30
76,4,15,30
76,8,15,30
76,12,15,30
77,4,0,30
77,8,0,30
77,12,0,30
78,4,12,30
78,8,12,30
78,12,12,30
79,4,0,30
79,8,0,30
79,12,0,30
80,4,10,30
80,8,14,30
80,12,13,30
81,4,15,30
81,8,15,30
81,12,15,30
82,4,12,30
82,8,10,30
82,12,8,30
83,4,0,30
83,8,0,30
83,12,0,30
84,4,0,30
84,8,0,30
84,12,0,30
85,4,14,30
85,8,14,30
85,12,13,30
86,4,0,30
86,8,3,30
86,12,11,30
87,4,0,30
87,8,0,30
87,12,0,30
89,4,15,30
89,8,15,30
89,12,15,30
90,4,0,30
90,8,0,30
90,12,0,30
91,4,0,30
91,8,0,30
91,12,0,30
93,4,14,30
93,8,15,30
93,12,15,30
94,4,3,30
94,8,0,30
94,12,0,30
95,4,0,30
95,8,0,30
95,12,0,30
96,4,1,30
96,8,1,30
96,12,0,30
97,4,8,30
97,8,6,30
97,12,3,30
98,4,15,30
98,8,15,30
98,12,15,30
99,4,0,30
99,8,0,30
99,12,0,30
101,4,0,30
101,8,1,30
101,12,6,30
102,4,15,30
102,8,15,30
102,12,15,30
103,4,0,30
103,8,0,30
103,12,0,30
104,4,14,30
104,12,11,30
105,4,13,30
105,8,11,30
105,12,13,30
106,4,0,30
106,8,3,30
106,12,1,30
107,4,0,30
107,8,0,30
107,12,0,30
108,4,0,30
108,8,0,30
108,12,0,30
109,4,0,30
109,8,0,30
109,12,0,30
