subject,run,family,sfreq,n_channels,duration_s,n_annotations,n_T0,n_T1,n_T2,other_labels,ch_names_hash,error
1,3,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
1,7,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
1,11,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
1,4,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
1,8,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
1,12,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
2,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
2,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
2,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
2,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
2,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
2,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
3,3,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
3,7,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
3,11,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
3,4,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
3,8,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
3,12,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
4,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
4,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
4,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
4,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
4,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
4,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
5,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
5,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
5,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
5,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
5,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
5,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
6,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
6,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
6,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
6,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
6,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
6,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
7,3,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
7,7,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
7,11,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
7,4,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
7,8,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
7,12,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
8,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
8,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
8,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
8,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
8,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
8,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
9,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
9,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
9,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
9,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
9,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
9,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
10,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
10,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
10,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
10,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
10,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
10,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
11,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
11,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
11,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
11,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
11,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
11,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
12,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
12,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
12,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
12,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
12,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
12,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
13,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
13,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
13,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
13,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
13,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
13,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
14,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
14,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
14,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
14,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
14,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
14,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
15,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
15,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
15,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
15,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
